,Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
377,Ritual,Empires,Event,,"Gain a Curse. If you do, trash a card from your hand. +1 per it cost.",,,,,1,,,1,+X
378,Salt the Earth,Empires,Event,,+1 Trash a Victory card from the Supply.,,,,,1,,,,+1
379,Wedding,Empires,Event,,+1 Gain a Gold.,,,,,,,,1,+1
380,Windfall,Empires,Event,,"If your deck and discard pile are empty, gain 3 Golds.",,,,,,,,3,
381,Conquest,Empires,Event,,Gain 2 Silvers. +1 per Silver you've gained this turn.,,,,,,,,2,+X
382,Dominate,Empires,Event,,"Gain a Province. If you do, +9 .",,,,,,,,1,+9 (+6 )
383,Aqueduct,Empires,Landmark,,"When you gain a Treasure, move 1 from its pile to this. When you gain a Victory card, take the from this.Setup: Put 8 on the Silver and Gold piles.",,,,,,,,,+X
384,Arena,Empires,Landmark,,"At the start of your Buy phase, you may discard an Action card. If you do, take 2 from here.Setup: Put 6 here per player.",,,,,,,,,+2
385,Bandit Fort,Empires,Landmark,,"When scoring, -2 for each Silver and each Gold you have.",,,,,,,,,-X
386,Basilica,Empires,Landmark,,"When you gain a card in your Buy phase, if you have or more, take 2 from here.Setup: Put 6 here per player.",,,,,,,,,+2
387,Battlefield,Empires,Landmark,,"When you gain a Victory card, take 2 from here.Setup: Put 6 here per player.",,,,,,,,,+2
388,Baths,Empires,Landmark,,"When you end your turn without having gained a card, take 2 from here.Setup: Put 6 here per player.",,,,,,,,,+2
389,Colonnade,Empires,Landmark,,"When you gain an Action card in your Buy phase, if you have a copy of it in play, take 2 from here.Setup: Put 6 here per player.",,,,,,,,,+2
390,Defiled Shrine,Empires,Landmark,,"When you gain an Action, move 1 from its pile to this.  When you gain a Curse in your Buy phase, take the from this.Setup: Put 2 on each non-Gathering Action Supply pile.",,,,,,,,,+X
391,Fountain,Empires,Landmark,,"When scoring, 15 if you have at least 10 Coppers.",,,,,,,,,15 ?
392,Keep,Empires,Landmark,,"When scoring, 5 per differently named Treasure you have, that you have more copies of than each other player, or tied for most.",,,,,,,,,X
393,Labyrinth,Empires,Landmark,,"When you gain a 2nd card in one of your turns, take 2 from here.Setup: Put 6 here per player.",,,,,,,,,+2
394,Mountain Pass,Empires,Landmark,,"When you are the first player to gain a Province, each player bids once, up to , ending with you. High bidder gets +8 and takes the they bid.",,,,,,,,,8
395,Museum,Empires,Landmark,,"When scoring, 2 per differently named card you have.",,,,,,,,,X
396,Obelisk,Empires,Landmark,,"When scoring, 2 per card you have from the chosen pile.Setup: Choose a random Action Supply pile.",,,,,,,,,X
397,Orchard,Empires,Landmark,,"When scoring, 4 per differently named Action card you have 3 or more copies of.",,,,,,,,,X
398,Palace,Empires,Landmark,,"When scoring, 3 per set you have of Copper - Silver - Gold.",,,,,,,,,X
399,Tomb,Empires,Landmark,,"When you trash a card, +1 .",,,,,,,,,+X
400,Tower,Empires,Landmark,,"When scoring, 1 per non-Victory card you have from an empty Supply pile.",,,,,,,,,X
401,Triumphal Arch,Empires,Landmark,,"When scoring, 3 per copy you have of the 2nd most common Action card among your cards (if it’s a tie, count either).",,,,,,,,,X
402,Wall,Empires,Landmark,,"When scoring, -1 per card you have after the first 15.",,,,,,,,,-X
403,Wolf Den,Empires,Landmark,,"When scoring, -3 per card you have exactly one copy of.",,,,,,,,,-X
404,Druid,Nocturne,Action - Fate,,+1 Buy Receive one of the set-aside Boons (leaving it there).Setup: Set aside the top 3 Boons face up.,,,+1,,,,,,
405,Faithful Hound,Nocturne,Action - Reaction,,"+2 CardsWhen you discard this other than during Clean-up, you may set it aside, and put it into your hand at end of turn.",,+2,,,,,,,
406,Guardian,Nocturne,Night - Duration,,"At the start of your next turn, +.  Until then, when another player plays an Attack card, it doesn't affect you.This is gained to your hand (instead of your discard pile).",,,,N +,,,,,
407,Monastery,Nocturne,Night,,"For each card you've gained this turn, you may trash a card from your hand or a Copper you have in play.",,,,,X,,,,
408,Pixie,Nocturne,Action - Fate,,+1 Card +1 Action Discard the top Boon. You may trash this to receive that Boon twice. Heirloom: Goat,+1,+1,,,Self?,,,,
409,Tracker,Nocturne,Action - Fate,,"+ This turn, when you gain a card, you may put it onto your deck.Receive a Boon.Heirloom: Pouch",,,,+,,,,,
410,Changeling,Nocturne,Night,,"Trash this. Gain a copy of a card you have in play.In games using this, when you gain a card costing or more, you may exchange it for a Changeling.",,,,,Self,,,1,
411,Fool,Nocturne,Action - Fate,,"If you aren't the player with Lost in the Woods: take it, take 3 Boons, and receive the Boons in any order. Heirloom: Lucky Coin",,,,,,,,,
412,Ghost Town,Nocturne,Night - Duration,,"At the start of your next turn, +1 Card and +1 Action.This is gained to your hand (instead of your discard pile).",N +1,N +1,,,,,,,
413,Leprechaun,Nocturne,Action - Doom,,"Gain a Gold. If you have exactly 7 cards in play, gain a Wish from its pile. Otherwise, receive a Hex.",,,,,,,,"1, 1?",
414,Night Watchman,Nocturne,Night,,"Look at the top 5 cards of your deck, discard any number, and put the rest back in any order.This is gained to your hand (instead of your discard pile).",,,,,,,,,
415,Secret Cave,Nocturne,Action - Duration,,"+1 Card +1 Action You may discard 3 cards. If you did, then at the start of your next turn, +. Heirloom: Magic Lamp",+1,"+1, -3?",,N +?,,,,,
416,Bard,Nocturne,Action - Fate,,+ Receive a Boon.,,,,+,,,,,
417,Blessed Village,Nocturne,Action - Fate,,"+1 Card +2 ActionsWhen you gain this, take a Boon. Receive it now or at the start of your next turn.",+2,+1,,,,,,,
418,Cemetery,Nocturne,Victory,,"2 When you gain this, trash up to 4 cards from your hand. Heirloom: Haunted Mirror",,,,,*4,,,,2
419,Conclave,Nocturne,Action,,"+ You may play an Action card from your hand that you don't have a copy of in play. If you do, +1 Action.","P1, +1?",,,+,,,,,
420,Devil's Workshop,Nocturne,Night,,"If the number of cards you've gained this turn is: 2+, gain an Imp from its pile; 1, gain a card costing up to ; 0, gain a Gold.",,,,,,,,1,
421,Exorcist,Nocturne,Night,,Trash a card from your hand. Gain a cheaper Spirit from one of the Spirit piles.,,,,,1,,,1,
422,Necromancer,Nocturne,Action,,"Play a face up, non-Duration Action card from the trash, leaving it there and turning it face down for the turn.Setup: Put the 3 Zombies into the trash.",,,,,,,,,
423,Shepherd,Nocturne,Action,,"+1 Action Discard any number of Victory cards, revealing them. +2 Cards per card discarded. Heirloom: Pasture",+1,"-X, +2X",,,,,,,
424,Skulk,Nocturne,Action - Attack - Doom,,"+1 Buy Each other player receives the next Hex.When you gain this, gain a Gold.",,,+1,,,,,*1,
425,Cobbler,Nocturne,Night - Duration,,"At the start of your next turn, gain a card to your hand costing up to .",,,,,,,,N 1,
426,Crypt,Nocturne,Night - Duration,,"Set aside any number of non-Duration Treasures you have in play, face down (under this). While any remain, at the start of each of your turns, put one of them into your hand.",,"N+1, NN+1 …",,,,,,,
427,Cursed Village,Nocturne,Action - Doom,,"+2 Actions Draw until you have 6 cards in hand.When you gain this, receive a Hex.",+2,+X,,,,,,,
428,Den of Sin,Nocturne,Night - Duration,,"At the start of your next turn, +2 Cards.This is gained to your hand (instead of your discard pile).",,N +2,,,,,,,
429,Idol,Nocturne,Treasure - Attack - Fate,,"When you play this, if you then have an odd number of Idols in play, receive a Boon; if an even number, each other player gains a Curse.",,,,+,,,1?,,
430,Pooka,Nocturne,Action,,"You may trash a Treasure other than Cursed Gold from your hand, for +4 Cards. Heirloom: Cursed Gold",,+4?,,,1?,,,,
431,Sacred Grove,Nocturne,Action - Fate,,"+1 Buy + Receive a Boon. If it doesn't give +, each other player may receive it.",,,+1,+,,,,,
432,Tormentor,Nocturne,Action - Attack - Doom,,"+ If you have no other cards in play, gain an Imp from its pile. Otherwise, each other player receives the next Hex.",,,,+,,,,1?,
433,Tragic Hero,Nocturne,Action,,"+3 Cards +1 Buy If you have 8 or more cards in hand (after drawing), trash this and gain a Treasure.",,+3,+1,,Self?,,,1?,
434,Vampire,Nocturne,Night - Attack - Doom,,Each other player receives the next Hex. Gain a card costing up to other than a Vampire. Exchange this for a Bat.,,,,,Self,,,2,
435,Werewolf,Nocturne,Action - Night - Attack - Doom,,"If it's your Night phase, each other player receives the next Hex. Otherwise, +3 Cards.",,+3?,,,,,,,
436,Raider,Nocturne,Night - Duration - Attack,,"Each other player with 5 or more cards in hand discards a copy of a card you have in play (or reveals they can't). At the start of your next turn, +.",,,,N +,,,,,
437,Will-o'-Wisp,Nocturne,Action - Spirit,,"+1 Card +1 Action Reveal the top card of your deck. If it costs or less, put it into your hand. (This is not in the Supply.)",+1,"+1, +1?",,,,,,,
438,Wish,Nocturne,Action,,"+1 Action Return this to its pile. If you did, gain a card to your hand costing up to . (This is not in the Supply.)",+1,,,,Self,,,1,
439,Bat,Nocturne,Night,,"Trash up to 2 cards from your hand. If you trashed at least one, exchange this for a Vampire. (This is not in the Supply.)",,,,,"0-2, Self?",,,1?,
440,Imp,Nocturne,Action - Spirit,,+2 Cards You may play an Action card from your hand that you don't have a copy of in play. (This is not in the Supply.),P1?,+2,,,,,,,
441,Ghost,Nocturne,Night - Duration - Spirit,,"Reveal cards from your deck until you reveal an Action. Discard the other cards and set aside the Action. At the start of your next turn, play it twice. (This is not in the Supply.)",,,,,,,,,
442,Zombie Apprentice,Nocturne,Action - Zombie,,You may trash an Action card from your hand for +3 Cards and +1 Action.,+1?,+3?,,,1?,,,,
443,Zombie Mason,Nocturne,Action - Zombie,,Trash the top card of your deck. You may gain a card costing up to more than it.,,,,,1,,,1?,
444,Zombie Spy,Nocturne,Action - Zombie,,+1 Card +1 Action Look at the top card of your deck. Discard it or put it back.,+1,+1,,,,,,,
445,Haunted Mirror,Nocturne,Treasure - Heirloom,,"When you trash this, you may discard an Action card, to gain a Ghost from its pile.",,,,+,,,,*1?,
446,Magic Lamp,Nocturne,Treasure - Heirloom,,"When you play this, if there are at least 6 cards that you have exactly 1 copy of in play, trash this. If you do, gain 3 Wishes from their pile.",,,,+,Self?,,,3?,
447,Goat,Nocturne,Treasure - Heirloom,,"When you play this, you may trash a card from your hand.",,,,+,1?,,,,
448,Pasture,Nocturne,Treasure - Victory - Heirloom,,Worth 1 per Estate you have.,,,,+,,,,,X
449,Pouch,Nocturne,Treasure - Heirloom,,+1 Buy,,,+1,+,,,,,
450,Cursed Gold,Nocturne,Treasure - Heirloom,,"When you play this, gain a Curse.",,,,+,,,Self,,
451,Lucky Coin,Nocturne,Treasure - Heirloom,,"When you play this, gain a Silver.",,,,+,,,,1,
452,The Earth's Gift,Nocturne,Boon,,You may discard a Treasure to gain a card costing up to .,,-1?,,,,,,1?,
453,The Field's Gift,Nocturne,Boon,,+1 Action + (Keep this until Clean-up.),+1,,,+,,,,,
454,The Flame's Gift,Nocturne,Boon,,You may trash a card from your hand.,,,,,1?,,,,
455,The Forest's Gift,Nocturne,Boon,,+1 Buy + (Keep this until Clean-up.),,,+1,+,,,,,
456,The Moon's Gift,Nocturne,Boon,,Look through your discard pile. You may put a card from it onto your deck.,,,,,,,,,
457,The Mountain's Gift,Nocturne,Boon,,Gain a Silver.,,,,,,,,1,
458,The River's Gift,Nocturne,Boon,,+1 Card at the end of this turn. (Keep this until Clean-up.),,N +1,,,,,,,
459,The Sea's Gift,Nocturne,Boon,,+1 Card,,+1,,,,,,,
460,The Sky's Gift,Nocturne,Boon,,You may discard 3 cards to gain a Gold.,,-3?,,,,,,1?,
461,The Sun's Gift,Nocturne,Boon,,Look at the top 4 cards of your deck. Discard any number of them and put the rest back in any order.,,,,,,,,,
462,The Swamp's Gift,Nocturne,Boon,,Gain a Will-o'-Wisp from its pile.,,,,,,,,1,
463,The Wind's Gift,Nocturne,Boon,,+2 Cards Discard 2 cards.,,"+2,-2",,,,,,,
464,Bad Omens,Nocturne,Hex,,Put your deck into your discard pile. Look through it and put 2 Coppers from it onto your deck (or reveal you can't).,,,,,,,,,
465,Delusion,Nocturne,Hex,,"If you don't have Deluded or Envious, take Deluded.",,,,,,,,,
466,Envy,Nocturne,Hex,,"If you don't have Deluded or Envious, take Envious.",,,,,,,,,
467,Famine,Nocturne,Hex,,Reveal the top 3 cards of your deck. Discard the Actions. Shuffle the rest into your deck.,,,,,,,,,
468,Fear,Nocturne,Hex,,"If you have at least 5 cards in hand, discard an Action or Treasure (or reveal you can't).",,-1,,,,,,,
469,Greed,Nocturne,Hex,,Gain a Copper onto your deck.,,,,,,,1,,
470,Haunting,Nocturne,Hex,,"If you have at least 4 cards in hand, put one of them onto your deck.",,-1,,,,,,,
471,Locusts,Nocturne,Hex,,"Trash the top card of your deck. If it's Copper or Estate, gain a Curse. Otherwise, gain a cheaper card that shares a type with it.",,,,,1,,1?,1?,
472,Misery,Nocturne,Hex,,"If this is your first Misery this game, take Miserable. Otherwise, flip it over to Twice Miserable.",,,,,,,,,-2
473,Plague,Nocturne,Hex,,Gain a Curse to your hand.,,,,,,,1,,
474,Poverty,Nocturne,Hex,,Discard down to 3 cards in hand.,,-X,,,,,,,
475,War,Nocturne,Hex,,Reveal cards from your deck until revealing one costing or . Trash it and discard the rest.,,,,,1,,,,
476,Deluded,Nocturne,State,,"At the start of your Buy phase, return this, and you can't buy Actions this turn.",,,,,,,,,
477,Envious,Nocturne,State,,"At the start of your Buy phase, return this, and Silver and Gold make this turn.",,,,(-),,,,,
478,Lost in the Woods,Nocturne,State,,"At the start of your turn, you may discard a card to receive a Boon.",,-1?,,,,,,,
479,Miserable,Nocturne,State,,-2,,,,,,,,,-2
480,Twice Miserable,Nocturne,State,,-4,,,,,,,,,-4
481,Border Guard,Renaissance,Action,,"+1 Action Reveal the top 2 cards of your deck. Put one into your hand and discard the other. If both were Actions, take the Lantern or Horn.",+1,+1,,,,,,,
482,Ducat,Renaissance,Treasure,,"+1 Coffers +1 BuyWhen you gain this, you may trash a Copper from your hand.",,,+1,+1,*1,,,,
483,Lackeys,Renaissance,Action,,"+2 CardsWhen you gain this, +2 Villagers.",*+2,+2,,,,,,,
484,Acting Troupe,Renaissance,Action,,+4 Villagers Trash this.,+4,,,,Self,,,,
485,Cargo Ship,Renaissance,Action - Duration,,"+ Once this turn, when you gain a card, you may set it aside face up (on this). At the start of your next turn, put it into your hand.",,N +1,,+,,,,,
486,Experiment,Renaissance,Action,,"+2 Cards +1 Action Return this to the Supply.When you gain this, gain another Experiment (that doesn't come with another).",+1,+2,,,Self,,,*1,
487,Improve,Renaissance,Action,,"+ At the start of Clean-up, you may trash an Action card you would discard from play this turn, to gain a card costing exactly more than it.",,,,+,*1?,,,1?,
488,Flag Bearer,Renaissance,Action,,"+When you gain or trash this, take the Flag.",,,,+,,,,,
489,Hideout,Renaissance,Action,,"+1 Card +2 Actions Trash a card from your hand. If it's a Victory card, gain a Curse.",+2,+1,,,1,,Self?,,
490,Inventor,Renaissance,Action,,"Gain a card costing up to , then cards cost less this turn (but not less than ).",,,,R1,,,,1,
491,Mountain Village,Renaissance,Action,,"+2 Actions Look through your discard pile and put a card from it into your hand; if you can't, +1 Card.",+2,+1,,,,,,,
492,Patron,Renaissance,Action - Reaction,,"+1 Villager +When something causes you to reveal this (using the word “reveal”) in an Action phase, +1 Coffers.",+1,,,+ *+1,,,,,
493,Priest,Renaissance,Action,,"+ Trash a card from your hand. For the rest of this turn, when you trash a card, +.",,,,"+,+",1,,,,
494,Research,Renaissance,Action - Duration,,"+1 Action Trash a card from your hand. Per it costs, set aside a card from your deck face down (on this). At the start of your next turn, put those cards into your hand.",+1,N +X,,,1,,,,
495,Silk Merchant,Renaissance,Action,,"+2 Cards +1 BuyWhen you gain or trash this, +1 Coffers and +1 Villager.",*+1,+2 *+1,+1,,,,,,
496,Old Witch,Renaissance,Action - Attack,,+3 Cards Each other player gains a Curse and may trash a Curse from their hand.,,+3,,,,,1,,
497,Recruiter,Renaissance,Action,,+2 Cards Trash a card from your hand. +1 Villager per it costs.,+X,+2,,,1,,,,
498,Scepter,Renaissance,Treasure,,"When you play this, choose one: +; or replay an Action card you played this turn that's still in play.",P1?,,,+?,,,,,
499,Scholar,Renaissance,Action,,Discard your hand. +7 Cards.,,"-X,+7",,,,,,,
500,Sculptor,Renaissance,Action,,"Gain a card to your hand costing up to . If it's a Treasure, +1 Villager.",+1?,,,,,,,1,
501,Seer,Renaissance,Action,,+1 Card +1 Action Reveal the top 3 cards of your deck. Put the ones costing from to into your hand. Put the rest back in any order.,+1,+1-4,,,,,,,
502,Spices,Renaissance,Treasure,,"+1 BuyWhen you gain this, +2 Coffers.",,,+1,+ *+2,,,,,
503,Swashbuckler,Renaissance,Action,,"+3 Cards If your discard pile has any cards in it: +1 Coffers, then if you have at least 4 Coffers tokens, take the Treasure Chest.",,+3,,+1?,,,,,
504,Treasurer,Renaissance,Action,,+ Choose one: Trash a Treasure from your hand; or gain a Treasure from the trash to your hand; or take the Key.,,,,+,1?,,,1?,
505,Villain,Renaissance,Action - Attack,,+2 Coffers Each other player with 5 or more cards in hand discards one costing or more (or reveals they can't).,,,,+2,,,,,
506,Flag,Renaissance,Artifact,,"When drawing your hand, +1 Card.",,+1,,,,,,,
507,Horn,Renaissance,Artifact,,"Once per turn, when you discard a Border Guard from play, you may put it onto your deck.",,,,,,,,,
508,Key,Renaissance,Artifact,,"At the start of your turn, +.",,,,+,,,,,
509,Lantern,Renaissance,Artifact,,Border Guards you play reveal 3 cards and discard 2. (It takes all 3 being Actions to take the Horn.),,,,,,,,,
510,Treasure Chest,Renaissance,Artifact,,"At the start of your Buy phase, gain a Gold.",,,,,,,,1,
511,Cathedral,Renaissance,Project,,"At the start of your turn, trash a card from your hand.",,,,,N... 1,,,,
512,City Gate,Renaissance,Project,,"At the start of your turn, +1 Card, then put a card from your hand onto your deck.",,"N... +1,-1",,,,,,,
513,Pageant,Renaissance,Project,,"At the end of your Buy phase, you may pay for +1 Coffers.",,,,"N... (-, +1)?",,,,,
514,Sewers,Renaissance,Project,,"When you trash a card other than with this, you may trash a card from your hand.",,,,,**1?,,,,
515,Star Chart,Renaissance,Project,,"When you shuffle, you may pick one of the cards to go on top.",,,,,,,,,
516,Exploration,Renaissance,Project,,"At the end of your Buy phase, if you didn't gain any cards during it, +1 Coffers and +1 Villager.",**+1?,,,**+1?,,,,,
517,Fair,Renaissance,Project,,"At the start of your turn, +1 Buy.",,,N... +1,,,,,,
518,Silos,Renaissance,Project,,"At the start of your turn, discard any number of Coppers, revealed, and draw that many cards.",,"N... -X,+X",,,,,,,
519,Sinister Plot,Renaissance,Project,,"At the start of your turn, add a token here, or remove your tokens here for +1 Card each.",,N... +X?,,,,,,,
520,Academy,Renaissance,Project,,"When you gain an Action card, +1 Villager.",**+1,,,,,,,,
521,Capitalism,Renaissance,Project,,"During your turns, Actions with + amounts in their text are also Treasures.",,,,,,,,,
522,Fleet,Renaissance,Project,,"After the game ends, there's an extra round of turns just for players with this.",,,,,,,,,
523,Guildhall,Renaissance,Project,,"When you gain a Treasure, +1 Coffers.",,,,**+1,,,,,
524,Piazza,Renaissance,Project,,"At the start of your turn, reveal the top card of your deck. If it's an Action, play it.",N... P1?,N... P1?,,,,,,,
525,Road Network,Renaissance,Project,,"When another player gains a Victory card, +1 Card.",,**+1,,,,,,,
526,Barracks,Renaissance,Project,,"At the start of your turn, +1 Action.",N... +1,,,,,,,,
527,Crop Rotation,Renaissance,Project,,"At the start of your turn, you may discard a Victory card for +2 Cards.",,"N... -1?,+2?",,,,,,,
528,Innovation,Renaissance,Project,,"Once during each of your turns, when you gain an Action card, you may play it.",**P1?,,,,,,,,
529,Canal,Renaissance,Project,,"During your turns, cards cost less, but not less than .",,,,"R1, N... R1",,,,,
530,Citadel,Renaissance,Project,,"The first time you play an Action card during each of your turns, replay it afterwards.",**P1,,,,,,,,
531,Black Cat,Menagerie,Action - Attack - Reaction,,"+2 Cards If it isn't your turn, each other player gains a Curse.When another player gains a Victory card, you may play this from your hand.",,+2,,,,,1?,,
532,Sleigh,Menagerie,Action - Reaction,,"Gain 2 Horses.When you gain a card, you may discard this, to put that card into your hand or onto your deck.",,,,,,,,2,
533,Supplies,Menagerie,Treasure,,"When you play this, gain a Horse onto your deck.",,,,+,,,,1,
534,Horse,Menagerie,Action,,+2 Cards +1 Action Return this to its pile. (This is not in the Supply.),+1,+2,,,,,,,
535,Camel Train,Menagerie,Action,,"Exile a non-Victory card from the Supply.When you gain this, Exile a Gold from the Supply.",,,,,,,,,
536,Goatherd,Menagerie,Action,,+1 Action You may trash a card from your hand. +1 Card per card the player to your right trashed on their last turn.,+1,+X,,,1?,,,,
537,Scrap,Menagerie,Action,,Trash a card from your hand. Choose a different thing per it costs: +1 Card; +1 Action; +1 Buy; +; gain a Silver; gain a Horse.,+1?,+1?,+1?,+?,1,,,0-2,
538,Sheepdog,Menagerie,Action - Reaction,,"+2 CardsWhen you gain a card, you may play this from your hand.",,+2,,,,,,,
539,Snowy Village,Menagerie,Action,,+1 Card +4 Actions +1 Buy Ignore any further +Actions you get this turn.,"+4, -X",+1,+1,,,,,,
540,Stockpile,Menagerie,Treasure,,"+1 Buy When you play this, Exile it.",,,+1,+,,Self,,,
541,Bounty Hunter,Menagerie,Action,,"+1 Action Exile a card from your hand. If you didn't have a copy of it in Exile, +.",+1,,,+?,,1,,,
542,Cardinal,Menagerie,Action - Attack,,"+ Each other player reveals the top 2 cards of their deck, Exiles one costing from to , and discards the rest.",,,,+,,,,,
543,Cavalry,Menagerie,Action,,"Gain 2 Horses.When you gain this, +2 Cards, +1 Buy, and if it's your Buy phase return to your Action phase.",,*+2,*+1,,,,,2,
544,Groom,Menagerie,Action,,"Gain a card costing up to If it's an... Action card, gain a Horse; Treasure card, gain a Silver; Victory card, +1 Card and +1 Action.",+1?,+1?,,,,,,"1, 1?",
545,Hostelry,Menagerie,Action,,"+1 Card +2 Actions When you gain this, you may discard any number of Treasures, revealed, to gain that many Horses.",+2,+1 *-X,,,,,,*X,
546,Village Green,Menagerie,Action - Duration - Reaction,,"Either now or at the start of your next turn, +1 Card and +2 Actions.When you discard this other than during Clean-up, you may play it.","+2?, N+2?","+1?, N+1?",,,,,,,
547,Fisherman,Menagerie,Action,,"+1 Card +1 Action +During your turns, if your discard pile is empty, this card cost less.",+1,+1,,+,,,,,
548,Hunting Lodge,Menagerie,Action,,+1 Card +2 Action You may discard your hand for +5 Cards.,+2,"+1, -X+5?",,,,,,,
549,Barge,Menagerie,Action - Duration,,"Either now or at the start of your next turn, +3 Cards and +1 Buy.",,"+3?, N+3?","+1? , N+1?",,,,,,
550,Coven,Menagerie,Action - Attack,,"+1 Action + Each other player Exiles a Curse from the Supply. If they can't, they discard their Exiled Curses.",+1,,,+,,,1*,,
551,Displace,Menagerie,Action,,Exile a card from your hand. Gain a differently named card costing up to more than it.,,,,,,1,,1,
552,Falconer,Menagerie,Action - Reaction,,"Gain a card to your hand costing less than this.When any player gains a card with 2 or more types (Action, Attack, etc.), you may play this from your hand.",,,,,,,,1,
553,Gatekeeper,Menagerie,Action - Duration - Attack,,"At the start of your next turn, +. Until then, when another player gains an Action or Treasure card they don't have an Exiled copy of, they Exile it.",,,,N +,,,,,
554,Kiln,Menagerie,Action,,"+ The next time you play a card this turn, you may first gain a copy of it.",,,,+,,,,1?,
555,Livery,Menagerie,Action,,"+ This turn, when you gain a card costing or more, gain a Horse.",,,,+,,,,1?,
556,Mastermind,Menagerie,Action - Duration,,"At the start of your next turn, you may play an Action card from your hand three times.",N P3,,,,,,,,
557,Paddock,Menagerie,Action,,+ Gain 2 Horses. +1 Action per empty Supply pile.,+X,,,+,,,,2,
558,Sanctuary,Menagerie,Action,,+1 Card +1 Action +1 Buy You may Exile a card from your hand.,+1,+1,+1,,,1?,,,
559,Destrier,Menagerie,Action,,"+2 Cards +1 ActionDuring your turn, this costs less per card you've gained this turn.",+1,+2,,,,,,,
560,Wayfarer,Menagerie,Action,,"+3 Cards You may gain a Silver.This has the same cost as the last other card gained this turn, if any.",,+3,,,,,,1?,
561,Animal Fair,Menagerie,Action,,"+ +1 Buy per empty supply pile.Instead of paying this card's cost, you may trash an Action card from your hand.",,,X,+,,,,,
562,Delay,Menagerie,Event,,"You may set aside an Action card from your hand. At the start of next turn, play it.",,,,,,,,,
563,Desperation,Menagerie,Event,,"Once per turn: You may gain a Curse. If you do, +1 Buy and +",,,+1?,+?,,,Self,1?,
564,Gamble,Menagerie,Event,,"+1 Buy Reveal the top card of your deck. It it's a Treasure or Action, you may play it. Otherwise, discard it.",,,+1,,,,,,
565,Pursue,Menagerie,Event,,+1 Buy Name a card. Reveal the top 4 cards from your deck. Put the matches back and discard the rest.,,,+1,,,,,,
566,Ride,Menagerie,Event,,Gain a Horse.,,,,,,,,1,
567,Toil,Menagerie,Event,,+1 Buy You may play an Action card from your hand.,P1?,,+1,,,,,,
568,Enhance,Menagerie,Event,,"You may trash a non-Victory card from your hand, to gain a card costing up to more than it.",,,,,1?,,,1?,
569,March,Menagerie,Event,,Look through your discard pile. You may play an Action card from it.,P1?,,,,,,,,
570,Transport,Menagerie,Event,,Choose one: Exile an Action card from the Supply; or put an Action card you have in Exile onto your deck.,,,,,,1?,,,
571,Banish,Menagerie,Event,,Exile any number of cards with the same name from your hand.,,,,,,X,,,
572,Bargain,Menagerie,Event,,Gain a non-Victory card costing up to . Each other player gains a Horse.,,,,,,,,1,
573,Invest,Menagerie,Event,,"Exile an Action card from the Supply. While it's in Exile, when another player gains or Invests in a copy of it, +2 Cards.",,,,,,1,,,
574,Seize the Day,Menagerie,Event,,Once per game: Take an extra turn after this one.,,,,,,,,,
575,Commerce,Menagerie,Event,,Gain a Gold per differently named card you've gained this turn.,,,,,,,,X,
576,Demand,Menagerie,Event,,"Gain a Horse and a card costing up to , both onto your deck.",,,,,,,,2,
577,Stampede,Menagerie,Event,,"If you have 5 or fewer cards in play, gain 5 Horses onto your deck.",,,,,,,,5,
578,Reap,Menagerie,Event,,"Gain a Gold. Set it aside. If you do, at the start of your next turn, play it.",,,,(N +),,,,1,
579,Enclave,Menagerie,Event,,Gain a Gold. Exile a Duchy from the Supply.,,,,,,1,,1,(+3 )
580,Alliance,Menagerie,Event,,"Gain a Province, a Duchy, an Estate, a Gold, a Silver, and a Copper",,,,,,,,6,(+10 )
581,Populate,Menagerie,Event,,Gain one card from each Action Supply pile.,,,,,,,,X,
582,Way of the Butterfly,Menagerie,Way,,You may return this to its pile to gain a card costing exactly more than it.,,,,,,,,1,
583,Way of the Camel,Menagerie,Way,,Exile a Gold from the Supply,,,,,,1,,,
584,Way of the Chameleon,Menagerie,Way,,"Follow this card's instructions; each time that would give you +Cards this turn, you get + instead, and vice-versa.",,"-X, +X",,"-, +",,,,,
585,Way of the Frog,Menagerie,Way,,"+1 Action When you discard this from play this turn, put it onto your deck.",+1,,,,,,,,
586,Way of the Goat,Menagerie,Way,,Trash a card from your hand.,,,,,1,,,,
587,Way of the Horse,Menagerie,Way,,+2 Cards +1 Action Return this to its pile.,+1,+2,,,Self,,,,
588,Way of the Mole,Menagerie,Way,,+1 Action Discard your hand. +3 Cards.,+1,"-X, +3",,,,,,,
589,Way of the Monkey,Menagerie,Way,,+1 Buy +,,,+1,+,,,,,
590,Way of the Mouse,Menagerie,Way,,"Play the set-aside card, leaving it there.Setup: Set aside an unused Action costing or .",,,,,,,,,
591,Way of the Mule,Menagerie,Way,,+1 Action +,+1,,,+,,,,,
592,Way of the Otter,Menagerie,Way,,+2 Cards,,+2,,,,,,,
593,Way of the Ox,Menagerie,Way,,+2 Actions,+2,,,,,,,,
594,Way of the Owl,Menagerie,Way,,Draw until you have 6 cards in your hand.,,+X,,,,,,,
595,Way of the Pig,Menagerie,Way,,+1 Card +1 Action,+1,+1,,,,,,,
596,Way of the Rat,Menagerie,Way,,You may discard a Treasure to gain a copy of this.,,-1,,,,,,1,
